PAGINA,DESCRIPCION,PRECIO,CLAVE MX,CONTADO MX,CRÉDITO MX
54,007-636 (7 - 11) ROJO, 15.80 ,YQ18300U, 213.00 , 229.99 
54,007-650 (7 - 11) VERDE, 5.80 ,GS6700A, 78.00 , 84.99 
55,007-546 (7 - 11) MULTICOLOR, 13.30 ,JU15500C, 180.00 , 194.99 
56,007-630 (8-11) MULTICOLOR COMBO 2 POR 1, 34.10 ,AB39700R, 461.00 , 499.99 
57,"007-528 (3Y - 5Y, 6M - 11M, 5W - 10W) MULTICOLOR", 52.50 ,NZ61100F, 709.00 , 769.99 
58,007-609 (7 - 11) MULTICOLOR, 48.10 ,EH56000F, 650.00 , 704.99 
59,007-608 (7 - 11) NEGRO, 57.30 ,RF66700L, 774.00 , 839.99 
60,007-653 ONE SIZE MULTICOLOR, 14.70 ,ÑH17100Z, 199.00 , 214.99 
61,F69110 (7 - 11) MIEL, 129.00 ,PS87920P," 1,099.00 "," 1,189.99 "
61,F71604 (7 - 11) CHOCOLATE, 99.00 ,EY67950Q, 849.00 , 919.99 
61,F71604 (7 - 11) NEGRO, 99.00 ,EY67950Q, 849.00 , 919.99 
62,F68609 (7 - 11) MIEL, 99.00 ,WW63930O, 799.00 , 864.99 
62,F68609 (7 - 11) NEGRO, 99.00 ,WW63930O, 799.00 , 864.99 
62,F76803 (7 - 11) CAFÉ, 89.00 ,DV63120T, 789.00 , 854.99 
63,F78504 (7 - 11) NEGRO, 99.00 ,HE63120C, 789.00 , 854.99 
63,F91501 (7 - 11) NEGRO, 99.00 ,VH66330D, 829.00 , 899.99 
63,F91502 (7 - 11) NEGRO, 99.00 ,QP66330E, 829.00 , 899.99 
64,F63202 (7-13) NEGRO, 69.00 ,JC51930W, 649.00 , 704.99 
64,F68901 (7 - 11) CAFÉ, 99.00 ,VÑ66330H, 829.00 , 899.99 
64,F71603 (7-13) NEGRO, 89.00 ,YB68880A, 799.00 , 929.99 
65,K05761 (7 - 11) MIEL, 82.00 ,XP94750D," 1,099.00 "," 1,194.99 "
65,K05761 (7 - 11) CAFÉ, 82.00 ,XP94750D," 1,099.00 "," 1,194.99 "
65,K07635 ONE SIZE VINO, 14.00 ,JG16300L, 189.00 , 209.99 
66,K02455 (8-11) NEGRO, 60.00 ,SR68880H, 799.00 , 869.99 
66,K02455 (8-11) GRIS MULTI, 60.00 ,SR68880H, 799.00 , 869.99 
66,K09797 ONE SIZE NEGRO, 12.00 ,PA13710P, 159.00 , 174.99 
66,K09797 ONE SIZE BLANCO, 12.00 ,PA13710P, 159.00 , 174.99 
67,K0F004 (8-11) MARINO, 82.00 ,LN94750Y," 1,099.00 "," 1,194.99 "
67,K0F004 (8-11) BLANCO, 82.00 ,LN94750Y," 1,099.00 "," 1,194.99 "
67,K0F010 (8-11) NEGRO, 74.00 ,EE86130S, 999.00 ," 1,089.99 "
67,K0F106 (8-11) ROJO, 74.00 ,EX86130Q, 999.00 ," 1,089.99 "
68,K00011 (8-13) BLANCO, 100.00 ,TC116300V," 1,349.00 "," 1,469.99 "
69,VM7652 VENTA SOLO EN MEXICO, 0.10 ,FG64570U, 749.00 , 814.99 
69,VM9166 VENTA SOLO EN MEXICO, 0.10 ,FP64570V, 749.00 , 814.99 
70,V13CC7 VENTA SOLO EN MEXICO, 0.10 ,OZ34400L, 399.00 , 434.99 
70,VM7650 VENTA SOLO EN MEXICO, 0.10 ,ZQ64570B, 749.00 , 814.99 
70,VM9160 VENTA SOLO EN MEXICO, 0.10 ,ZF64570P, 749.00 , 814.99 
71,V13CC5 VENTA SOLO EN MEXICO, 0.10 ,QL31820U, 369.00 , 404.99 
71,V14738 VENTA SOLO EN MEXICO, 0.10 ,FÑ60260E, 699.00 , 759.99 
72,V14848 VENTA SOLO EN MEXICO, 0.10 ,RK60260K, 699.00 , 759.99 
72,V47385 VENTA SOLO EN MEXICO, 0.10 ,ÑV60260S, 699.00 , 759.99 
72,V47386 VENTA SOLO EN MEXICO, 0.10 ,FU60260Z, 699.00 , 759.99 
73,C21631 (7 - 12) BLANCO, 37.00 ,XF43020O, 499.00 , 544.99 
73,C21631 (7 - 12) CORAL, 37.00 ,XF43020O, 499.00 , 544.99 
74,C21623 (7 - 12) NEGRO, 35.00 ,PK40440W, 469.00 , 509.99 
74,C21687 (7 - 12) NEGRO, 35.00 ,HV40440E, 469.00 , 509.99 
74,C21688 (7 - 12) BLANCO, 35.00 ,HM40440H, 469.00 , 509.99 
